,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
V10,0.0004575994601071052,0.0006812359252924147,0.0005231058041417766,0.010107851745495096,0.006932540159035442,0.00042640243206227787,0.00037739543870085406,0.0006120587413518139,0.0009175708163648615,0.0013885153821788065,0.09657875506903162,0.006065769530343212,0.012024675964924245,0.00024236274316339495,0.015292853154011861,0.0003243134257462691,0.0014286347701453412,0.0015576000161841397,0.0006612649127727241,0.00044313314076177275,0.0003526058685760973,0.0007614082754162977,0.0004657405070705797,0.00023688743186844774,0.0005785943634718892,0.0002271444470066796,0.00036418156565944175,0.0005895372921496974,0.00035021499525641505,0.0002487581685549894
V11,0.00031311225669336404,0.0007156486851672213,0.0015691509520861621,0.009214883209766047,0.007253138156438207,0.00046974941329064475,0.00016101768739239204,0.001600652571801645,0.0005738441513789325,0.0013870938326911747,0.006065769530343217,0.08788551333495595,0.010848266826055074,0.0003114208881610933,0.013532427228045034,0.0002911394670685287,0.0019204529350758267,0.0013869310021969062,0.00040405614668794355,0.000281769682778725,0.00018429168333068335,0.00030461024054927627,0.00035525050634947314,0.0001621674050861682,0.00034816006219842585,0.0002448344838155576,0.00028902279705186553,0.00034665191324584013,0.00027078574164180044,0.00043445116778380435
V12,0.0005728612469462873,0.002415288912223122,0.0016837117413760932,0.019183519724789665,0.011360295104964746,0.0008792130412761015,0.0004837520746000761,0.0027557033819345118,0.000978273310346671,0.001720450490978317,0.012024675964924236,0.010848266826055079,0.17994399340694986,0.00038288080774843183,0.0171482357314939,0.0003625172901481729,0.010368461287673603,0.0127161550837473,0.0012121885579523249,0.0007762623122233565,0.0005369900376228378,0.0012649046723079455,0.000387757010279211,0.00035984934779710777,0.00046768379312012317,0.0004910710821812665,0.000352551360597415,0.0003876852795443848,0.00038487596350193385,0.0005416863839184974
V13,0.00020085620728760124,0.00043507896677964916,0.00023385120562023507,0.0003538412051364471,0.001191572159798833,0.00036123465766886695,8.627884829175341e-05,0.00039302261855332323,0.000575443129278597,0.0002829455494853951,0.00024236274316339495,0.0003114208881610934,0.0003828808077484318,0.006559366717744064,0.0010810868670876556,0.00036713797869443953,0.00020903466743170903,0.00046753789506506495,0.0003579662182173521,0.0002156957586971556,0.0002876142192254126,0.0004123514333686274,0.00015197294424426508,0.00017916504870358273,0.0001933319367523003,0.0001484544095526222,0.0001566836221624672,0.0001369328747999463,0.0001490562586292856,0.0002117803489204054
V14,0.0011651708216669338,0.001298333374391683,0.0032117601737327484,0.017512884556570928,0.012486691351004178,0.0009892042931396638,0.0008590981605929612,0.0015508548724295424,0.0015488278794910538,0.0015229486375684161,0.015292853154011856,0.013532427228045032,0.017148235731493898,0.0010810868670876551,0.17727240492767052,0.0007990534639382335,0.002311397435170972,0.003107313831235043,0.002164850900130994,0.0007095401544077833,0.0005030131932305001,0.002861947015780062,0.0008134013527475661,0.0006093103832974518,0.001044890738438936,0.0005839175121138136,0.00102527797730921,0.0014029638488014596,0.0007697986917120141,0.0007879153263777747
V15,0.0001683377948997469,0.0004719707834660724,0.00015366268651232268,0.00043257282830177384,0.0009309964817000994,0.00023045902884214254,8.889234698324562e-05,0.0004210960703858611,0.0002364476474778484,9.777084740947684e-05,0.0003243134257462691,0.00029113946706852843,0.00036251729014817255,0.00036713797869443975,0.0007990534639382335,0.005156782561699603,0.00020713787984322506,0.00030026535269871824,0.0003516727649900996,0.00025927461009689985,0.0001431230024489085,0.00013924942994006023,0.0001560185595439654,0.00015810633914880405,0.00012977995709878858,0.00014884081178754164,0.00016815970165112316,0.0001484192771750682,0.00012273742636241525,0.00030193263273644596
V16,0.000150783743510668,0.0004091372040981586,0.0009113849318497499,0.0028183004885215103,0.0018326304680896105,0.00046572680478010125,0.00022474796787892942,0.0008179439857304726,0.00030040837884664,0.0002129930552278953,0.0014286347701453423,0.001920452935075826,0.010368461287673597,0.00020903466743170908,0.002311397435170976,0.00020713787984322514,0.04683473438456771,0.005420087528080705,0.0006996965621281943,0.0005483798237969168,0.00016852951974074805,0.0006874285500181308,0.0002316535264285951,0.0001770032231773413,0.00028490005705245265,0.00013331761104473064,0.00020205988603154003,0.00019441065083965775,0.00022821270475214495,0.00037230036603631015
V17,0.0003661016483455103,0.0005565597516951449,0.0005957920992404488,0.006090163820866645,0.002570886300240029,0.0012530357695100397,0.00045119253864999017,0.0007576589228647651,0.001517561938084186,0.00035621274485414913,0.0015576000161841414,0.0013869310021969055,0.012716155083747295,0.0004675378950650648,0.003107313831235036,0.00030026535269871797,0.0054200875280807055,0.06325863212027824,0.0020080491058541384,0.00038001969889049777,0.00038245909696265934,0.00037607870192509716,0.00029356356704087394,0.00021568181188837926,0.000257958069302561,0.0002649159494950699,0.0005043927269849018,0.0004358360790172106,0.0004053282478775929,0.00040822287350568523
V18,0.00037019201342446183,0.00029788844016142657,0.0003553987352595101,0.000679317383054824,0.0014489887874704055,0.0005551069084095518,0.00018035073296172378,0.00087984870942958,0.0009953310491867997,0.0003093740519898361,0.0006612649127727236,0.0004040561466879436,0.0012121885579523253,0.0003579662182173519,0.0021648509001309948,0.00035167276499009956,0.0006996965621281938,0.0020080491058541393,0.011941569443710658,0.00028512279111028444,0.00016882593472775044,0.00017812307690224055,0.0001982032443314853,0.00019373215813114322,0.00023619927456728108,0.0002793983627883374,0.00045348965822474815,0.00035320424005323437,0.00037520987759002706,0.0002935772605700544
V19,0.00016809566611824522,0.00042171252751542834,0.0008192459787283288,0.0003841299047421548,0.0012727705054455995,0.0006789748503550995,0.00027262490990528747,0.0003830305776843875,0.0003370392350811713,0.00015837789372324365,0.0004431331407617728,0.00028176968277872523,0.0007762623122233561,0.0002156957586971556,0.0007095401544077838,0.0002592746100968998,0.0005483798237969167,0.0003800196988904978,0.0002851227911102843,0.009136828330040928,0.0001996841485851874,0.0002662336574979095,0.00020865524057571937,0.0002036028428511666,0.00027764733690415,0.00011919433308311008,0.0001993697238141937,0.00027922662279974595,0.0002124495103292893,0.0003287942243521954
