Feature 1,Feature 2,Interaction
V16,V27,0.00019441065083965775
V5,V22,0.0001943694812902774
V18,V23,0.00019373215813114322
V13,V24,0.0001933319367523003
V3,V25,0.0001920100291021809
V1,V26,0.00018984994536073193
V7,V24,0.00018750173480526006
V21,V22,0.00018744786428606284
V2,V26,0.00018707064472756155
V2,V27,0.0001853550276802526
V11,V20,0.00018429168333068335
V9,V21,0.00018215338879615863
V6,V18,0.0001803507329617238
V13,V23,0.00017916504870358273
V21,V26,0.00017905696883383185
V5,V28,0.00017903259927662784
V18,V21,0.00017812307690224055
V16,V23,0.0001770032231773413
V20,V22,0.00017478354499489115
V2,V24,0.00017375065450580925
Time,V1,0.0001735735438009391
Time,V7,0.00017273405855801116
V9,Amount,0.0001725622225911466
V22,Amount,0.00017025784926410923
V2,V23,0.00016979378894307608
V1,V23,0.00016924918832100032
V18,V20,0.00016882593472775044
V16,V20,0.00016852951974074805
Time,V15,0.00016833779489974687
V15,V26,0.00016815970165112316
Time,V19,0.00016809566611824528
V9,V26,0.00016632547410864
Time,V9,0.00016584325779891253
V2,V28,0.00016491318146247616
V7,V28,0.00016376993789607693
V3,V23,0.00016262011590709917
V11,V23,0.0001621674050861682
V6,V11,0.00016101768739239217
V21,Amount,0.0001608904631649105
V2,V25,0.00016052350630513528
V9,V19,0.00015837789372324368
V15,V23,0.00015810633914880405
V1,V22,0.00015784863076887372
V24,V27,0.00015773410289766186
V13,V26,0.0001566836221624672
V15,V22,0.0001560185595439654
V21,V28,0.00015497573544990555
V24,V26,0.0001547029033107914
V6,Amount,0.00015370740384349822
V2,V15,0.00015366268651232276
V13,V22,0.00015197294424426508
Time,V21,0.00015154753393356506
Time,V20,0.0001514558575365825
Time,V16,0.00015078374351066762
V25,V27,0.0001498685534143186
Time,Amount,0.00014938093204799172
V23,V26,0.00014909002474631865
V13,V28,0.0001490562586292856
V15,V25,0.00014884081178754164
V25,V26,0.00014848583094769126
V13,V25,0.0001484544095526222
V15,V27,0.0001484192771750682
Time,V28,0.0001478178833662804
V27,V28,0.000147009635874799
Time,V22,0.0001457051429323283
V1,V27,0.00014476387585969248
V24,Amount,0.00014468952913350086
V15,V20,0.0001431230024489085
V28,Amount,0.00014205024246997033
V20,Amount,0.00014192669531865523
V9,V22,0.00014165401658664862
V2,V22,0.00014144370637433326
V9,V20,0.000140900007762412
Time,V26,0.00014074526577505714
Time,V27,0.0001398028577756384
V22,V26,0.00013969389518799736
V15,V21,0.00013924942994006023
V22,V23,0.00013747943415435388
V13,V27,0.0001369328747999463
V20,V21,0.0001354112122800223
V26,V28,0.00013378669044094579
V16,V25,0.00013331761104473064
V22,V24,0.00013244498242059226
V9,V24,0.00013129636775581938
V6,V7,0.00013114940296140125
V15,V24,0.00012977995709878858
Time,V24,0.00012971050726408577
V7,V20,0.00012718092547137717
V21,V27,0.00012519117642535683
V1,V24,0.00012507467647493846
V23,V25,0.000125050763245515
V20,V28,0.00012501516541156148
V2,V6,0.00012450420146179443
V6,V27,0.00012386867015242188
V15,V28,0.00012273742636241525
Time,V23,0.00012165857188820332
V20,V26,0.00011977684353432518
V19,V25,0.00011919433308311008
V21,V23,0.00011827119770692212
V20,V24,0.0001142142439933535
V21,V24,0.00011239269631762618
V9,V23,0.00011189922291607028
V22,V25,0.00011147325601125624
V24,V25,0.00011051169947522239
V6,V23,0.0001091586926993159
V1,V6,0.00010898499456729975
V21,V25,0.00010892191383250074
V27,Amount,0.00010626021988629868
V22,V28,0.00010527648575099123
Time,V25,0.0001031990287819281
V23,V27,0.00010279605515768384
V20,V27,0.0001025341415254481
V6,V22,0.0001019044972479615
V24,V28,0.00010131527444759195
V6,V9,9.958288315331377e-05
V6,V24,9.790307428123145e-05
V9,V15,9.777084740947691e-05
V20,V25,9.675259348190781e-05
V23,V28,9.450028397130341e-05
V20,V23,9.34218002060472e-05
V25,V28,9.233313701926814e-05
V9,V28,9.151876640139698e-05
V6,V21,9.141560658677697e-05
V9,V25,9.05402525953918e-05
V23,V24,8.958115167004955e-05
V6,V28,8.911527243144257e-05
V6,V15,8.889234698324567e-05
V6,V26,8.69111974935977e-05
V6,V13,8.627884829175335e-05
V6,V20,8.243053165627916e-05
Time,V6,7.442284914857243e-05
V6,V25,7.291275537192916e-05
